,Tweets,len,ID,Date,Likes,RTs,sentiment
121,Man stabbed near National Theatre on South Bank https://t.co/58VXp6Gx1g,71,995716928952991746,2018-05-13 17:26:30,52,56,
122,"RT @BBCMOTD: Salah 32 ?
Kane 30 ?
Aguero 21 ?

Well-deserved @MoSalah ??? 

? https://t.co/y8txFEtBmp #MOTD #LFC https://t.co/lLZYbrMDMw",136,995711754465398784,2018-05-13 17:05:56,0,233,
123,Challenge Cup: Hull KR 10-28 Wigan Warriors https://t.co/nRaPsMv5Dz,67,995711130273243138,2018-05-13 17:03:27,20,3,
124,"?In the end, what gives a life meaning is not only how it is lived, but how it draws to a close.?

We remember the? https://t.co/goBkdvMAgz",139,995708042451869697,2018-05-13 16:51:11,689,221,
125,Premier League: Liverpool finish fourth as Swansea are relegated https://t.co/Qht3p1roJC,88,995705170947387393,2018-05-13 16:39:46,98,19,
126,"RT @BBCSport: Arsene Wenger's 1235-game reign ended in victory for Arsenal ?

#MerciArsene 

? https://t.co/zNHkWaBxnf #AFC https://t.co/yZ?",140,995697703265947649,2018-05-13 16:10:06,0,231,
127,Salah breaks Premier League scoring record https://t.co/vpnowDiLGM,66,995697051726962688,2018-05-13 16:07:30,257,62,
128,"RT @BBCSport: FT Liverpool 4-0 Brighton
Newcastle 3-0 Chelsea

The Reds will be playing Champions League football next season, the Blues go?",140,995694064002568192,2018-05-13 15:55:38,0,154,
129,"RT @BBCSport: FT Swansea 1-2 Stoke

It's all over for #Swans - they will play in the Championship next season https://t.co/EAbMxKLlbr #SWAS?",140,995693441504989189,2018-05-13 15:53:10,0,83,
130,"RT @BBCSport: GOAL! Southampton 0-1 Man City

?!!!

Gabriel Jesus scores and Man City are heading for a record-breaking 100 points https://?",140,995692992487919616,2018-05-13 15:51:23,0,98,
131,Eurovision 2018: SuRie stage invader 'climbed into camera run' https://t.co/bs5woMBCDZ,86,995692152834359297,2018-05-13 15:48:02,33,17,
132,?21bn Briton has turned cast-offs into gold https://t.co/a1X58pYsqy,67,995689241874255873,2018-05-13 15:36:28,40,14,
133,Giro d'Italia: Simon Yates wins stage nine to extend lead as Chris Froome fades https://t.co/4ZObRQU0sx,103,995685721280217089,2018-05-13 15:22:29,45,12,
134,Dame Tessa Jowell was 'brave' and 'inspirational' https://t.co/CoX7YFp5mC,73,995683997324898305,2018-05-13 15:15:38,144,39,
135,Lewis Hamilton dominates Spanish Grand Prix https://t.co/0m02lNYx48,67,995679911556931584,2018-05-13 14:59:24,98,25,
136,"RT @BBCSport: Here's how it's looking at half-time in the Premier League.

Live text ? https://t.co/EAbMxKLlbr

#bbcfootball https://t.co/p?",140,995679417019052032,2018-05-13 14:57:26,0,24,
137,"RT @BBCSport: Lewis Hamilton wins the Spanish Grand Prix to go 17 points clear of Sebastian Vettel in the Drivers' Championship. 

Live: ht?",140,995679271510331393,2018-05-13 14:56:51,0,210,
138,Celtic 0-1 Aberdeen https://t.co/9wsuISexVj,43,995675222564012034,2018-05-13 14:40:46,54,11,
139,"RT @BBCMOTD: No player has ever scored 32 goals in a 38-game top-flight season.

Until now. 

#LFC #bbcfootball 
https://t.co/C1syEc0Wke ht?",140,995672015838302208,2018-05-13 14:28:01,0,350,
140,"RT @BBCSport: GOAL! Liverpool 1-0 Brighton

Guess who?

Mohamed Salah scores his 32nd goal of the season to break Alan Shearer's goalscorin?",140,995671849508966400,2018-05-13 14:27:22,0,179,
141,"RT @BBCSport: Warning: Wolves lie in wait ?

It's nearly time for Toronto Wolfpack v Warrington Wolves!

#ChallengeCup live on @BBCTwo and?",139,995667011316473856,2018-05-13 14:08:08,0,9,
142,"RT @BBCSport: We're under way on the final day of the Premier League season!

Live text ? https://t.co/0NTQB2qmIa

Get involved #bbcfootbal?",140,995666380816076801,2018-05-13 14:05:38,0,18,
143,Would you give your kids total freedom? https://t.co/imtGID6RhF,63,995664714133798912,2018-05-13 13:59:01,35,12,
144,'Class A drugs' found at Home Office headquarters https://t.co/fzERH0JRYq,73,995662927167356929,2018-05-13 13:51:55,137,90,
145,"RT @bbcf1: ? Hamilton leads 
? Vettel is up to 2nd
?First lap crash after Grosjean spins
?Grosjean, Hulkenberg &amp; Gasly are out after the cr?",144,995661018360578048,2018-05-13 13:44:19,0,49,
146,Britons held in DR Congo freed https://t.co/Lysm6Ukrli,54,995654824321601536,2018-05-13 13:19:43,91,28,
147,"RT @bbcf1: Good start for Hamilton! He fends off Bottas at turn one - but Vettel is past into second!

There's a huge crash at the back,  R?",140,995654616254738433,2018-05-13 13:18:53,0,20,
148,Safety car already out https://t.co/pnAqmkwcMv,46,995653856586543106,2018-05-13 13:15:52,66,33,
149,England beat Italy in walking-football with Charlton brother https://t.co/9EsyJy6yVx,84,995650394368958465,2018-05-13 13:02:06,58,13,
150,Margaret River shooting: Grandfather 'planned' Australia deaths https://t.co/LB57t62GOo,87,995648119516942337,2018-05-13 12:53:04,32,14,
151,Mohamed Salah: Liverpool forward named Premier League Player of the Season https://t.co/FndfxSCA7r,98,995648111145095168,2018-05-13 12:53:02,250,76,
152,"RT @BBCSport: Lord Coe has paid tribute to the late Dame Tessa Jowell, saying without her London 2012 would not have happened. 

More: http?",140,995633632931930112,2018-05-13 11:55:30,0,25,
153,British man missing in Colombia found dead https://t.co/IB6C70qmCY,66,995633629270368256,2018-05-13 11:55:29,53,29,
154,Dame Tessa Jowell 'convinced me to make Olympic bid' https://t.co/7tS9naV1hy,76,995628349023244288,2018-05-13 11:34:30,102,35,
